aardvark|anteater,placental
bendable|flexible,pliable,pliant
bends|illness,malady,sickness
benedictory|petition,prayer
benefactress|benefactor,helper
benefice|dower,endow,spirituality
beneficence|benevolence,good,goodness
beneficiary|receiver,recipient,spirituality
benighted|dark,unenlightened
bereave|deprive,divest,strip
bereavement|mourning,sadness,sorrow
berg|composer,floater,iceberg
beseechingly|entreatingly,imploringly,importunately
besides|also,likewise,too
besmear|bedaub,cover
besot|desensitize,stupefy
bespattered|dirty,unclean
bestiality|inhumanity,sex
bestir|move,rouse
bestrew|straw,strew
bestride|mount,move
beta|exploratory,important,letter
between|'tween,betwixt
bevel|cant,cut,edge
bevy|assemblage,flock,gathering
beware|mind,watch
bewhiskered|bearded,unshaven,whiskered
bewitchment|enchantment,necromancy,sorcery
bey|governor,man
bi|bismuth,metal
biannual|biyearly,period,semiannual
bibliographer|scholar,student
bibliographic|bibliographical,list,listing
bibliographical|bibliographic,list,listing
bibliography|list,listing
bibliophile|scholar,student
bicentenary|anniversary,bicentennial
bicentennial|anniversary,bicentenary
bicuspid|angular,premolar,tooth
bicycler|bicyclist,cyclist
bicyclist|bicycler,cyclist
biddable|acquiescent,obedient
bidder|applicant,applier,hand
biddy|chick,chicken,hen
bidirectional|duplex,two-way
bigamist|mate,partner,spouse
biggish|big,large,largish
bigness|largeness,size
bigot|partisan,zealot
bigotry|dogmatism,intolerance
bigwig|kingpin,personage
bikini|atoll,swimsuit,two-piece
bilingual|linguist,multilingual,polyglot
bilingualism|ability,power
billboard|hoarding,sign,signboard
billfold|case,pocketbook,wallet
billing|charge,request
billionth|ordinal,rank
bimbo|girl,miss
bimetallic|metal,metallic,standard
bin|container,number,store
binary|multiple,star
bindery|shop,workshop
bingo|keno,lotto
biodegrade|decompose,molder,rot
biographer|author,writer
biological|begotten,life,natural
biomass|fuel,mass
bionics|engineering,technology
biosphere|part,region
biotechnology|engineering,ergonomics,technology
bipartisan|nonpartisan,two-way
biplane|airplane,plane
bird's-eye|broad,panoramic,wide
birdbrain|loon,misfit
birdseed|feed,provender
birthday|anniversary,date
birthrate|fertility,rate
birthright|heritage,inheritance,patrimony
biscuit|cake,cookie,cooky
bisexual|androgynous,sensualist
bishop|chessman,priest
bishopric|diocese,episcopate,jurisdiction
bitchy|catty,malicious
bitingly|bitter,bitterly,piercingly
bitterly|bitingly,bitter,piercingly
bitters|booze,liquor,spirits
bivalent|divalent,double,power
bivalve|mollusc,mollusk,shellfish
black-and-blue|injured,livid
black-and-white|patterned,spotted,spotty
blackbird|oriole,thrush
blackboard|chalkboard,sheet
blackhead|blemish,defect,mar
blacklist|list,listing
blacksmith|metalworker,smith
blacktop|coat,surface
bladder|bag,sac
blahs|boredom,ennui,tedium
blameworthiness|culpability,guilt,guiltiness
blandish|flatter,praise
blaster|workingman,workman
bleary-eyed|blear,bleary,tired
bleeder|hemophiliac,sufferer
bleep|beep,go,sound
blender|liquidizer,mixer
blindfold|blind,blindfolded,cover
blindfolded|blind,blindfold
blip|blow,pip,shock
bliss|blissfulness,elation
blissfulness|bliss,elation
blistery|blistering,hot,unhealthy
blitheness|cheerfulness,happiness
blithesome|blithe,cheerful,lighthearted
blob|blot,fleck,spot
blocker|medicament,medication,medicine
blockhouse|fastness,stronghold
blondness|complexion,fairness,paleness
bloodcurdling|alarming,hair-raising,nightmarish
blooded|full-blooded,purebred
bloodiness|bloodthirstiness,disposition,temperament
bloodstain|discoloration,stain
bloodstained|bloody,gory
bloodsucker|annelid,leech
bloodsucking|bloody,dependent,parasitic
bloodthirstiness|bloodiness,disposition,temperament
bloodthirsty|bloody,sanguinary
blotched|blotchy,patterned
blotchy|blemished,blotched,patterned
blower|cetacean,device,fan
blowgun|blowpipe,tube,tubing
blowpipe|blowgun,tube,tubing
blowtorch|burner,torch
blowy|breezy,stormy,windy
blue-pencil|censor,delete,edit
bluebell|harebell,wildflower
blueberry|berry,bush,shrub
bluebonnet|cap,lupine
bluebottle|blowfly,cornflower,flower
bluejacket|man,sailor,serviceman
bluffly|bluntly,brusquely,roundly
bluffness|frankness,outspokenness
bluing|blue,dye,dyestuff
bluish|blue,chromatic
bluntly|bluffly,brusquely,roundly
blusher|makeup,paint,rouge
blusterer|loudmouth,troublemaker
blusterous|blustery,stormy
blustery|blusterous,domineering,stormy
boa|constrictor,scarf
boardwalk|walk,walkway
boastfully|big,large
boating|seafaring,yachting
boatman|boater,worker
bobbin|reel,spool,winder
bobbysoxer|lass,lassie
bobwhite|partridge,quail
